OBJECTID,prov,city_muni,brgy,date_from,date_to,time,tc_categor,intl_name,local_name,latitude,longitude,obs_height,range,type
246,Occidental Mindoro,Mamburao,Tayamaan,7/21/1968,7/28/1968,,Typhoon,Olga,Didang,13.2301853,120.5421785,9.0,9,Surveyed
29,Bataan,Bagac,Pag-asa (Wawa-Sibacan),10/10/1970,10/15/1970,,Super Typhoon,Joan,Sening,14.58945371,120.3892618,5.0,3.0-5.3,Surveyed
35,Bataan,Morong,Poblacion,10/10/1970,10/15/1970,,Super Typhoon,Joan,Sening,14.67322729,120.2649059,5.0,3.0-5.4,Surveyed
100,Cavite,Cavite City,Barangay 36 (Sap-sap),10/10/1970,10/15/1970,,Super Typhoon,Joan,Sening,14.48076729,120.8903168,5.0,3.0-5.0,Surveyed
167,Ilocos Sur,Santa Cruz,Pinipin,10/10/1970,10/15/1970,,Super Typhoon,Joan,Sening,17.06022313,120.4439329,5.0,3.0-5.2,Surveyed
268,Sorsogon,Barcelona,Cagang,11/23/1987,11/27/1987,,Super Typhoon,Nina,Sisang,12.86485211,124.1480167,3.88,3.88,Surveyed
26,Aurora,Dilasag,Dicabasan,10/24/1978,10/27/1978,,Super Typhoon,Rita,Kading,16.41713772,122.201363,7.17,2.31-7.17,Surveyed
27,Aurora,Dingalan,Aplaya,10/24/1978,10/27/1978,,Super Typhoon,Rita,Kading,15.37970897,121.395467,6.39,3.28-6.39,Surveyed
129,Eastern Samar,Arteche,Carapdapan,10/24/1978,10/27/1978,,Super Typhoon,Rita,Kading,12.27063435,125.4042783,2.92,1.68-2.92,Surveyed
25,Aurora,Baler,Buhangin,11/21/1981,11/27/1981,,Super Typhoon,Irma,Anding,15.77698005,121.5607253,8.4,2.7-8.4,Surveyed
85,Camarines Norte,Daet,Bagasbas,11/21/1981,11/27/1981,,Super Typhoon,Irma,Anding,14.14181523,122.9819304,8.2,8.2,Surveyed
89,Camarines Sur,San Jose,Dolo,11/21/1981,11/27/1981,,Super Typhoon,Irma,Anding,13.71048324,123.5700574,2.2,2.2,Surveyed
90,Camarines Sur,Sipocot,Anib,11/21/1981,11/27/1981,,Super Typhoon,Irma,Anding,13.80123345,123.049653,2.9,2.9,Surveyed
91,Camarines Sur,Tinambac,Sogod,11/21/1981,11/27/1981,,Super Typhoon,Irma,Anding,13.82185064,123.3222999,4.4,4.4,Surveyed
308,Surigao del Sur,Bislig,San Fernando,3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,8.221426158,126.3124283,3.67,2.98-3.67,Surveyed
309,Surigao del Sur,Cantilan,Lininti-an (Pob.),3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,9.33800997,125.985161,2.31,2.15-2.31,Surveyed
311,Surigao del Sur,Hinatuan,Tiwi,3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,8.368948633,126.3409947,2.39,2.39,Surveyed
312,Surigao del Sur,Lanuza,Zone IV (Pob.),3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,9.235234957,126.0604327,4.66,4.66,Surveyed
313,Surigao del Sur,Lianga,Poblacion,3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,8.627680766,126.0966085,3.51,3.51,Surveyed
316,Surigao del Sur,Tago,Purisima (Pob.),3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,9.029834967,126.2290397,2.88,2.88,Surveyed
317,Surigao del Sur,Tandag,Brgy. Bagong Lungsod,3/18/1982,3/22/1982,,Severe Tropical Storm,Mamie,Akang,9.074364044,126.2009263,4.38,2.20-4.38,Surveyed
5,Albay,Tabaco,Sto. Cristo,7/12/1983,7/16/1983,,Typhoon,Vera,Bebeng,13.35832121,123.7381952,0.65,0.65,Surveyed
28,Bataan,Abucay,Wawa (Pob.),7/12/1983,7/16/1983,,Typhoon,Vera,Bebeng,14.722714,120.547909,1.7,1.7,Surveyed
30,Bataan,Balanga,Pto. Rivas Ibaba,7/12/1983,7/16/1983,,Typhoon,Vera,Bebeng,14.70155772,120.5588365,1.9,1.9,Surveyed
32,Bataan,Limay,Lamao,7/12/1983,7/16/1983,,Typhoon,Vera,Bebeng,14.51770802,120.6086981,0.66,0.66,Surveyed
33,Bataan,Limay,Reformista,7/12/1983,7/16/1983,,Typhoon,Vera,Bebeng,14.56369372,120.5985472,0.98,0.98,Surveyed
37,Bataan,Orion,Lusungan (Pob.),7/12/1983,7/16/1983,,Typhoon,Vera,Bebeng,14.61964091,120.5843743,0.78,0.78,Surveyed
269,Sorsogon,Bulusan,San Vicente,11/23/1987,11/27/1987,,Super Typhoon,Nina,Sisang,12.79058627,124.1492013,2.35,2.35,Surveyed
257,Quezon,Gen. Nakar,Maligaya,11/17/1983,11/27/1983,,Super Typhoon,Orchid,Warling,14.96149646,121.56592,4.82,4.82,Surveyed
259,Quezon,Infanta,Libjo,11/17/1983,11/27/1983,,Super Typhoon,Orchid,Warling,14.75568325,121.6735546,4.52,4.52,Surveyed
1,Agusan del Norte,Jabonga,Lake Mainit,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.453293074,125.450206,2.83,2.83,Surveyed
43,Bohol,Anda,Poblacion,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.741456312,124.5758165,2.6,2.12-2.60,Surveyed
44,Bohol,Baclayon,Poblacion,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.62186416,123.9082084,2.95,1.93-2.95,Surveyed
45,Bohol,Bien Unindo,Nueva Estrella,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,10.13469654,124.3617305,4.39,4.39,Surveyed
46,Bohol,Calape,Desamparados (Pob.),8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.89,123.87,2.33,2.25-2.33,Surveyed
47,Bohol,CP Garcia,Tugnao,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,10.11111106,124.589267,3.12,2.13-3.12,Surveyed
48,Bohol,Dauis,San Isidro,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.580045345,123.8321761,2.29,2.29,Surveyed
49,Bohol,Dimaiao,Balbalan,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.603187753,124.1519366,2.37,2.14-2.37,Surveyed
50,Bohol,Duero,San Pedro,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.706067838,124.4059325,1.87,1.87,Surveyed
51,Bohol,Guindulman,Sawang (Pob.),8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.759921108,124.4832776,2.21,1.80-2.21,Surveyed
52,Bohol,Hernandez,Cayam,8/31/1984,9/4/1984,,Super Typhoon,Ike,Nitang,9.604167774,124.2750602,2.97,2.97,Surveyed
